product_name,price,marketplace,search_term,link
Lenovo IdeaPad Slim 3 2023 (AMD Ryzen 5 7520U | AMD Radeon 610M Graphics),"Rs 86,999",Hukut,laptops,https://hukut.com/lenovo-ideapad-slim-3-2023-ryzen-5-7520u
Asus VivoBook 14 2024 X1404V (Intel Core 5-120U | Intel UHD Graphics),"Rs 87,999",Hukut,laptops,https://hukut.com/asus-vivobook-15-2024-x1404v-core-5-120u
ASUS VivoBook Go 14 2025 E1404FA-EB1226W (AMD Ryzen 5 40 | AMD Radeon Graphics),"Rs 90,999",Hukut,laptops,https://hukut.com/asus-vivobook-go-14-2025-ryzen-5-40-radeon
Lenovo V14 G4 2025 G4 AMN (AMD Ryzen 5 7520U | AMD Radeon 610M Graphics),"Rs 96,999",Hukut,laptops,https://hukut.com/lenovo-v14-g4-2025-ryzen-5-7520u-radeon-610m
Acer Aspire Lite 15 2025 (13th Gen Intel Core i5-13500H | Intel UHD Graphics),"Rs 98,999",Hukut,laptops,https://hukut.com/acer-aspire-lite-15-2025-13th-gen-core-i5-13500h-uhd
Xiaomi Redmi Watch 5 Active,"Rs 5,999",Hukut,smartwatches,https://hukut.com/redmi-watch-5-active
Xiaomi Redmi Watch 5 Lite,"Rs 9,999",Hukut,smartwatches,https://hukut.com/redmi-watch-5-lite
Huawei Band 10,"Rs 7,990",Hukut,smartwatches,https://hukut.com/huawei-band-10
Samsung Galaxy Watch 8 Classic,"Rs 82,999",Hukut,smartwatches,https://hukut.com/samsung-galaxy-watch-8-classic
HiFuture AURA 2,"Rs 13,499",Hukut,smartwatches,https://hukut.com/hifuture-aura-2
Huawei Watch GT 6 Pro,"Rs 54,489",Hukut,smartwatches,https://hukut.com/huawei-watch-gt-6-pro
Kick Phantom Watch Ultra,"Rs 2,999",Hukut,smartwatches,https://hukut.com/kick-phantom-watch-ultra
CMF Watch Pro 3,N/A,Hukut,smartwatches,https://hukut.com/cmf-watch-3-pro
Zeblaze GTS 4,N/A,Hukut,smartwatches,https://hukut.com/zeblaze-gts-4
Ultima Watch Navigator,N/A,Hukut,smartwatches,https://hukut.com/ultima-watch-navigator
